"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 9 13 0 36 55 23
"2" "вторник" 12 10 9 23 64 19
"3" "среда" 26 19 32 10 14 11
"4" "четверг" 15 11 18 0 54 17
"5" "пятница" 63 11 22 36 11 11
"6" "суббота" 0 0 32 11 18 19
"7" "воскресенье" 18 39 16 54 22 12
"8" "понедельник" 10 59 69 47 0 9
"9" "вторник" 21 61 25 15 14 16
"10" "среда" 26 9 52 16 9 16
"11" "четверг" 34 32 0 46 27 29
"12" "пятница" 71 13 25 23 13 38
"13" "суббота" 27 17 19 18 13 11
"14" "воскресенье" 19 71 22 0 22 44
"15" "понедельник" 28 15 44 22 9 21
"16" "вторник" 47 28 16 0 57 27
"17" "среда" 34 20 19 0 21 16
"18" "четверг" 9 57 46 25 12 14
"19" "пятница" 9 9 23 64 0 0
"20" "суббота" 23 10 9 11 21 44
"21" "воскресенье" 13 42 10 10 33 12
"22" "понедельник" 11 47 51 18 14 0
"23" "вторник" 10 22 53 36 35 20
"24" "среда" 9 20 44 11 66 30
"25" "четверг" 12 0 21 12 20 35
"26" "пятница" 11 60 43 20 61 37
"27" "суббота" 41 35 20 47 33 27
"28" "воскресенье" 11 21 21 61 9 15
"29" "понедельник" 30 33 60 0 16 23
"30" "вторник" 9 55 53 58 37 46
