"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 19 24 21 43 32 22
"2" "вторник" 11 26 8 13 23 6
"3" "среда" 17 6 8 5 6 6
"4" "четверг" 7 12 7 6 7 14
"5" "пятница" 23 11 18 5 9 14
"6" "суббота" 14 10 11 15 10 31
"7" "воскресенье" 21 10 5 5 17 12
"8" "понедельник" 8 24 23 12 13 5
"9" "вторник" 9 15 39 27 15 12
"10" "среда" 5 24 10 23 10 28
"11" "четверг" 13 5 44 16 19 13
"12" "пятница" 5 8 10 27 14 8
"13" "суббота" 24 14 7 29 29 12
"14" "воскресенье" 38 10 37 18 9 28
"15" "понедельник" 12 14 18 12 9 34
"16" "вторник" 11 27 10 23 13 44
"17" "среда" 10 25 9 30 29 12
"18" "четверг" 14 5 12 23 5 16
"19" "пятница" 18 8 45 31 21 20
"20" "суббота" 10 14 33 10 6 5
"21" "воскресенье" 13 5 12 30 9 34
"22" "понедельник" 20 7 5 8 10 6
"23" "вторник" 6 26 46 9 16 11
"24" "среда" 13 19 45 42 48 13
"25" "четверг" 20 52 5 11 10 5
"26" "пятница" 29 21 15 5 22 9
"27" "суббота" 11 16 7 14 26 18
"28" "воскресенье" 23 32 22 7 16 13
"29" "понедельник" 24 25 40 6 23 26
"30" "вторник" 14 42 7 19 16 35
