"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 6 16 14 6 7 33
"2" "вторник" 17 66 63 12 70 13
"3" "среда" 65 40 30 10 7 35
"4" "четверг" 16 16 12 43 30 66
"5" "пятница" 17 7 45 11 21 18
"6" "суббота" 6 6 22 31 7 20
"7" "воскресенье" 26 42 25 12 39 6
"8" "понедельник" 49 38 12 21 9 35
"9" "вторник" 6 13 24 25 13 20
"10" "среда" 10 33 18 42 33 23
"11" "четверг" 7 35 6 50 14 10
"12" "пятница" 42 6 13 14 15 21
"13" "суббота" 9 39 31 12 40 52
"14" "воскресенье" 44 7 19 16 18 50
"15" "понедельник" 29 11 9 9 16 17
"16" "вторник" 19 75 6 24 73 45
"17" "среда" 18 51 27 40 56 15
"18" "четверг" 69 48 36 38 17 28
"19" "пятница" 55 66 7 40 18 15
"20" "суббота" 18 25 49 50 23 16
"21" "воскресенье" 22 18 21 24 36 15
"22" "понедельник" 19 15 7 35 45 11
"23" "вторник" 13 30 36 8 13 22
"24" "среда" 43 6 16 31 6 6
"25" "четверг" 23 19 6 59 36 13
"26" "пятница" 9 8 9 64 6 65
"27" "суббота" 44 23 10 75 29 38
"28" "воскресенье" 46 50 45 32 31 12
"29" "понедельник" 8 24 23 38 11 59
"30" "вторник" 75 19 23 10 25 8
