"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 21 39 65 5 13 15
"2" "вторник" 24 40 7 41 18 13
"3" "среда" 41 44 48 11 6 42
"4" "четверг" 38 9 13 41 18 49
"5" "пятница" 15 27 38 23 15 32
"6" "суббота" 66 3 27 8 21 40
"7" "воскресенье" 32 22 74 9 42 15
"8" "понедельник" 5 19 16 66 29 49
"9" "вторник" 18 11 17 3 3 15
"10" "среда" 20 66 4 26 9 29
"11" "четверг" 21 24 24 20 33 14
"12" "пятница" 3 4 3 9 3 15
"13" "суббота" 3 18 24 3 4 7
"14" "воскресенье" 35 59 21 5 55 57
"15" "понедельник" 10 36 19 9 31 9
"16" "вторник" 46 6 7 7 11 6
"17" "среда" 19 22 36 25 16 27
"18" "четверг" 8 31 10 5 11 52
"19" "пятница" 3 5 4 8 36 78
"20" "суббота" 3 25 47 9 17 41
"21" "воскресенье" 40 9 17 20 25 5
"22" "понедельник" 25 55 24 35 21 47
"23" "вторник" 36 22 9 11 34 53
"24" "среда" 7 19 24 4 8 16
"25" "четверг" 19 13 5 27 23 15
"26" "пятница" 4 9 3 75 15 45
"27" "суббота" 64 29 29 7 36 16
"28" "воскресенье" 3 9 36 30 20 25
"29" "понедельник" 30 6 5 18 8 5
"30" "вторник" 17 27 3 3 11 7
