"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 4 16 50 17 6 31
"2" "вторник" 10 2 16 11 24 2
"3" "среда" 17 8 2 23 42 6
"4" "четверг" 5 5 32 48 16 4
"5" "пятница" 12 2 10 10 15 38
"6" "суббота" 49 2 20 12 12 13
"7" "воскресенье" 4 17 8 10 31 3
"8" "понедельник" 12 15 29 52 30 52
"9" "вторник" 5 13 22 12 4 57
"10" "среда" 16 6 6 5 23 22
"11" "четверг" 8 2 10 12 28 21
"12" "пятница" 3 10 10 8 21 6
"13" "суббота" 24 2 9 7 18 28
"14" "воскресенье" 18 9 23 18 5 23
"15" "понедельник" 33 6 7 20 12 10
"16" "вторник" 2 35 13 17 29 48
"17" "среда" 4 3 5 40 11 39
"18" "четверг" 6 2 5 21 26 12
"19" "пятница" 20 3 51 2 2 6
"20" "суббота" 25 21 17 2 18 11
"21" "воскресенье" 25 33 2 48 19 2
"22" "понедельник" 29 6 9 31 7 47
"23" "вторник" 3 32 25 6 5 4
"24" "среда" 34 30 11 8 42 12
"25" "четверг" 10 4 12 44 6 34
"26" "пятница" 14 4 7 7 16 9
"27" "суббота" 17 41 55 7 12 2
"28" "воскресенье" 35 2 23 22 42 19
"29" "понедельник" 36 11 7 18 41 7
"30" "вторник" 5 21 22 39 16 4
