"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 48 16 52 10 16 3
"2" "вторник" 7 17 37 8 16 10
"3" "среда" 7 28 17 8 16 34
"4" "четверг" 57 21 31 16 30 49
"5" "пятница" 12 24 20 33 56 7
"6" "суббота" 16 14 22 48 3 31
"7" "воскресенье" 32 14 27 17 53 22
"8" "понедельник" 21 3 6 11 16 30
"9" "вторник" 6 5 8 37 13 52
"10" "среда" 17 28 5 38 13 4
"11" "четверг" 25 7 8 43 40 28
"12" "пятница" 31 4 14 39 44 43
"13" "суббота" 22 4 51 63 68 5
"14" "воскресенье" 9 28 69 7 3 10
"15" "понедельник" 55 4 37 15 5 10
"16" "вторник" 20 20 3 56 17 47
"17" "среда" 26 5 17 4 13 14
"18" "четверг" 16 13 5 51 3 15
"19" "пятница" 11 12 23 23 16 8
"20" "суббота" 42 16 10 12 27 13
"21" "воскресенье" 45 43 14 60 49 11
"22" "понедельник" 8 24 25 29 70 26
"23" "вторник" 36 26 22 4 25 12
"24" "среда" 7 14 29 13 35 17
"25" "четверг" 6 45 37 3 44 7
"26" "пятница" 46 7 15 4 8 13
"27" "суббота" 23 4 28 19 8 10
"28" "воскресенье" 63 34 13 4 10 8
"29" "понедельник" 6 3 12 22 6 17
"30" "вторник" 7 7 58 20 5 60
