"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 26 30 29 54 0 9
"2" "вторник" 41 11 11 33 10 0
"3" "среда" 37 0 22 12 25 9
"4" "четверг" 30 27 38 38 11 0
"5" "пятница" 13 39 43 11 9 13
"6" "суббота" 15 22 0 15 28 22
"7" "воскресенье" 24 30 22 9 28 14
"8" "понедельник" 9 0 20 14 31 9
"9" "вторник" 18 14 56 67 18 13
"10" "среда" 14 31 11 16 15 39
"11" "четверг" 38 19 40 0 12 20
"12" "пятница" 16 43 36 34 46 16
"13" "суббота" 53 28 13 23 19 10
"14" "воскресенье" 0 22 41 50 27 31
"15" "понедельник" 23 29 50 16 21 15
"16" "вторник" 20 11 30 0 44 0
"17" "среда" 13 50 53 18 13 49
"18" "четверг" 22 55 39 9 10 9
"19" "пятница" 40 21 20 16 19 52
"20" "суббота" 16 18 20 18 0 48
"21" "воскресенье" 12 23 41 33 34 18
"22" "понедельник" 25 22 39 34 24 24
"23" "вторник" 31 58 17 0 22 0
"24" "среда" 10 33 19 16 38 17
"25" "четверг" 42 12 28 40 17 38
"26" "пятница" 31 45 19 24 27 41
"27" "суббота" 37 29 21 10 18 41
"28" "воскресенье" 12 34 41 12 19 12
"29" "понедельник" 18 9 42 17 16 60
"30" "вторник" 9 41 35 11 10 0
