"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 13 0 22 11 10 12
"2" "вторник" 40 45 20 24 8 36
"3" "среда" 42 70 23 22 14 15
"4" "четверг" 8 32 57 24 53 12
"5" "пятница" 45 24 23 57 20 25
"6" "суббота" 20 39 65 7 7 11
"7" "воскресенье" 38 7 13 11 26 21
"8" "понедельник" 13 12 7 40 0 13
"9" "вторник" 8 8 18 75 14 7
"10" "среда" 9 56 46 24 21 29
"11" "четверг" 7 0 14 14 42 40
"12" "пятница" 23 15 8 11 22 22
"13" "суббота" 47 24 0 26 8 11
"14" "воскресенье" 33 17 60 21 28 0
"15" "понедельник" 0 45 28 67 46 13
"16" "вторник" 7 20 46 44 37 9
"17" "среда" 0 56 20 9 20 12
"18" "четверг" 7 41 12 9 13 15
"19" "пятница" 8 58 29 12 43 9
"20" "суббота" 21 12 50 24 0 12
"21" "воскресенье" 14 11 11 38 10 42
"22" "понедельник" 33 35 35 13 12 7
"23" "вторник" 8 13 7 0 43 21
"24" "среда" 0 15 0 39 22 26
"25" "четверг" 63 10 51 19 33 66
"26" "пятница" 12 45 21 0 9 0
"27" "суббота" 24 7 23 28 34 15
"28" "воскресенье" 17 7 12 37 14 20
"29" "понедельник" 12 63 34 7 33 15
"30" "вторник" 49 41 20 15 22 12
