"День" "Молоко" "Хлеб" "Каша" "Йогурт" "Апельсины" "Огурцы"
"1" "понедельник" 35 16 23 7 53 15
"2" "вторник" 57 7 9 12 34 22
"3" "среда" 45 8 59 10 29 53
"4" "четверг" 54 17 27 30 10 11
"5" "пятница" 49 16 11 9 12 12
"6" "суббота" 52 18 17 9 58 7
"7" "воскресенье" 15 21 55 38 7 8
"8" "понедельник" 15 38 26 14 10 27
"9" "вторник" 10 7 17 9 35 14
"10" "среда" 11 33 37 22 42 25
"11" "четверг" 42 8 16 14 39 15
"12" "пятница" 12 25 32 41 10 9
"13" "суббота" 7 16 14 47 48 10
"14" "воскресенье" 45 12 8 54 8 30
"15" "понедельник" 13 32 8 23 7 22
"16" "вторник" 21 53 22 24 34 9
"17" "среда" 23 32 9 20 38 14
"18" "четверг" 57 14 11 20 9 36
"19" "пятница" 42 41 21 19 8 27
"20" "суббота" 36 7 33 17 15 17
"21" "воскресенье" 20 16 9 23 38 21
"22" "понедельник" 24 14 11 15 13 18
"23" "вторник" 33 9 11 13 67 14
"24" "среда" 12 41 11 36 32 21
"25" "четверг" 10 7 28 7 7 16
"26" "пятница" 8 51 21 22 10 12
"27" "суббота" 23 9 10 11 18 20
"28" "воскресенье" 49 33 35 9 7 22
"29" "понедельник" 15 44 10 47 23 35
"30" "вторник" 10 10 9 67 20 29
